72504,,E/ESCWA/C.1/15/L.2,"Provisional agenda :; Economic and Social Commission for Western Asia, Technical Committee, 6th session, 13-15 May 1989, Baghdad.",http://digitallibrary.un.org/record/72504/files/E_ESCWA_C.1_15_L.2-AR.pdf; http://digitallibrary.un.org/record/72504/files/E_ESCWA_C.1_15_L.2-EN.pdf
72505,,E/ESCWA/C.1/15/2,"Proposed organization of work :; Economic and Social Commission for Western Asia, Technical Committee, 6th session, 13-15 May 1989, Baghdad.",http://digitallibrary.un.org/record/72505/files/E_ESCWA_C.1_15_2-AR.pdf; http://digitallibrary.un.org/record/72505/files/E_ESCWA_C.1_15_2-EN.pdf
72506,,E/ESCWA/C.1/15/3/Rev.1,Note /; by the Executive Secretary.,http://digitallibrary.un.org/record/72506/files/E_ESCWA_C.1_15_3_Rev.1-AR.pdf; http://digitallibrary.un.org/record/72506/files/E_ESCWA_C.1_15_3_Rev.1-EN.pdf
72507,,E/ESCWA/15/3,Note /; by the Executive Secretary.,http://digitallibrary.un.org/record/72507/files/E_ESCWA_15_3-AR.pdf; http://digitallibrary.un.org/record/72507/files/E_ESCWA_15_3-EN.pdf
72637,,E/ESCWA/C.1/15/INF.1/Rev.1,"List of documents :; Economic and Social Commission for Western Asia, Technical Committee, 6th session, 13-15 May 1989, Bangkok.",http://digitallibrary.un.org/record/72637/files/E_ESCWA_C.1_15_INF.1_Rev.1-AR.pdf
72685,,E/ESCWA/15/INF.3,"Provisional list of participants :; Economic and Social Commission for Western Asia, 15th session, 17-18 May 1989, Baghdad.",http://digitallibrary.un.org/record/72685/files/E_ESCWA_15_INF.3-EN.pdf
72687,,E/ESCWA/15/6/Add.1,Extrabudgetary resources supporting the Commission's programme :; Economic and Social Commission for Western Asia : note /; by the Executive Secretary.,http://digitallibrary.un.org/record/72687/files/E_ESCWA_15_6_Add.1-AR.pdf; http://digitallibrary.un.org/record/72687/files/E_ESCWA_15_6_Add.1-EN.pdf
72745,,E/ESCWA/C.1/15/6,Report of the Executive Secretary on the activities of the Commission :; follow-up action on the resolutions of the Commission : Economic and Social Commission for Western Asia.,http://digitallibrary.un.org/record/72745/files/E_ESCWA_C.1_15_6-AR.pdf; http://digitallibrary.un.org/record/72745/files/E_ESCWA_C.1_15_6-EN.pdf
72746,,E/ESCWA/C.1/15/5,Review of the recurrent publications of the Commission.,http://digitallibrary.un.org/record/72746/files/E_ESCWA_C.1_15_5-AR.pdf; http://digitallibrary.un.org/record/72746/files/E_ESCWA_C.1_15_5-EN.pdf
72747,,E/ESCWA/C.1/15/9,"Draft programme of work and priorities for the biennium 1990-1991 :; Economic and Social Commission for Western Asia, Technical Committee, 6th session, 13-15 May 1989, Baghdad.",
72748,,E/ESCWA/C.1/15/10,Regional co-operation for development in Western Asia.,
72749,,E/ESCWA/C.1/15/11,Report on the Economic and Social Commission for Western Asia /; prepared by the Joint Inspection Unit.,http://digitallibrary.un.org/record/72749/files/E_ESCWA_C.1_15_11-AR.pdf; http://digitallibrary.un.org/record/72749/files/E_ESCWA_C.1_15_11-EN.pdf
72752,,E/ESCWA/C.1/15/12,Note /; by the Executive Secretary.,http://digitallibrary.un.org/record/72752/files/E_ESCWA_C.1_15_12-AR.pdf; http://digitallibrary.un.org/record/72752/files/E_ESCWA_C.1_15_12-EN.pdf
72754,,E/ESCWA/C.1/15/14,Note /; by the Executive Secretary.,http://digitallibrary.un.org/record/72754/files/E_ESCWA_C.1_15_14-EN.pdf
73472,,E/ESCWA/C.1/15/6/Add.3,Report of the Executive Secretary on the activities of the Commission :; follow-up action on the resolutions of the Commission : Economic and Social Commission for Western Asia : resolution 160(XIV) on the economic and social conditions of the Palestinian people.,http://digitallibrary.un.org/record/73472/files/E_ESCWA_C.1_15_6_Add.3-AR.pdf; http://digitallibrary.un.org/record/73472/files/E_ESCWA_C.1_15_6_Add.3-EN.pdf
73473,,E/ESCWA/LIB/DOC/89/1,"Major ESCWA documents deposited in the Library, Jan.-Mar. 1989.",
73478,,E/ESCWA/C.1/15/6/Add.4,Report of the Executive Secretary on the activities of the Commission :; follow-up action on the resolutions of the Commission : Economic and Social Commission for Western Asia : resolution 161(XIV) on human and financial resources : vacancies in the secretariat.,http://digitallibrary.un.org/record/73478/files/E_ESCWA_C.1_15_6_Add.4-AR.pdf; http://digitallibrary.un.org/record/73478/files/E_ESCWA_C.1_15_6_Add.4-EN.pdf
73859,,E/ESCWA/TCD/89/1,Project appraisal methods in the transport sector.,
73861,,E/ESCWA/AGR/88/8,Sand dune stabilization afforestation and shelterbelts in the Tihama Yemen Arab Republic.,http://digitallibrary.un.org/record/73861/files/E_ESCWA_AGR_88_8-EN.pdf
73862,,E/ESCWA/AGR/88/7,Evaluation of rural development programmes and projects in Egypt :; lessons of experience.,http://digitallibrary.un.org/record/73862/files/E_ESCWA_AGR_88_7-EN.pdf
73909,,E/ESCWA/LIB/DOC/88/4,"Major ESCWA documents deposited in the Library, Oct.-Dec. 1988.",http://digitallibrary.un.org/record/73909/files/E_ESCWA_LIB_DOC_88_4-EN.pdf
73910,,E/ESCWA/LIB/ACQ/88/5,"List of library acquisitions :; Economic and Social Commission for Western Asia, v. 13, no. 5, Nov.-Dec. 1988.",
73979,,E/ESCWA/DPD/89/5,Survey of economic and social developments in the ESCWA region in the 1980s :; review and appraisal of the International Development Strategy for the Third United Nations Development Decade.,http://digitallibrary.un.org/record/73979/files/E_ESCWA_DPD_89_5-EN.pdf
74018,,E/ESCWA/DPD/89/IG.1/10/Rev.1,"Final report :; Intergovernmental Meeting on Trade in Services and Development in the ESCWA Region, Baghdad, 17-19 January 1989.",
82922,,E/ESCWA/LIB/DOC/6,"Major ESCWA documents deposited in the library, April-July 1989.",http://digitallibrary.un.org/record/82922/files/E_ESCWA_LIB_DOC_6-EN.pdf
84032,,E/ESCWA/NR/89/11,"Report of the project on Biogas Technology for Rural Areas in Selected Arab Countries, RAB/87/010.",http://digitallibrary.un.org/record/84032/files/E_ESCWA_NR_89_11-EN.pdf
84639,,E/ESCWA/RES/166(XV),Financial assistance to existing industries.,
84640,,E/ESCWA/RES/167(XV),Promotion of regional co-operation in the peaceful uses of nuclear energy.,
84641,,E/ESCWA/RES/168(XV),Suitable projects for regional and subregional co-operation in the ESCWA region on new and renewable sources of energy.,
84643,,E/ESCWA/RES/170(XV),Activities of the Transport and Communications Decade in Western Asia (1985-1994).,
84645,,E/ESCWA/RES/172(XV),Economic and social conditions of the Palestinian Arab people.,
